data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000003;542;Force Tiara ;I;14;1;347;
05/08/2023, 13:04:54;0000001;256;Pendant Tribute Crs Force ;J;9;2;1318;
05/08/2023, 13:04:54;0000003;256;Tribute Tribute Force ;I;11;3;1568;
05/08/2023, 13:04:54;0000003;658;Force Tribute Pendant ;I;14;2;5590;
05/08/2023, 13:04:54;0000001;845;Force Crs Force ;H;9;3;5273;
05/08/2023, 13:04:54;0000001;256;Crs Lft Rght Rght ;G;9;1;6965;
05/08/2023, 13:04:54;0000003;436;Tribute Crs Rght ;G;18;1;2282;
05/08/2023, 13:04:54;0000002;512;Lft Tribute Force ;F;4;3;9504;
05/08/2023, 13:04:54;0000003;580;Rght Tribute Lft ;I;21;2;7182;
05/08/2023, 13:04:54;0000001;580;Lft Crs ;H;21;0;1719;
05/08/2023, 13:04:54;0000001;580;Tiara Crs ;C;25;1;6796;
05/08/2023, 13:04:54;0000003;987;Force Lft Rght Rght ;J;9;2;8511;
05/08/2023, 13:04:54;0000003;580;Lft Pendant Pendant ;B;22;3;9828;
05/08/2023, 13:04:54;0000003;580;Tiara Tribute ;B;11;3;985;
05/08/2023, 13:04:54;0000002;542;Lft Rght Rght ;K;13;0;6080;
05/08/2023, 13:04:54;0000001;436;Tiara Rght ;F;5;0;4849;
05/08/2023, 13:04:54;0000001;845;Tiara Pendant Tiara Force ;F;12;0;4789;
05/08/2023, 13:04:54;0000002;852;Tiara Tribute Rght Pendant ;A;15;0;1172;
05/08/2023, 13:04:54;0000003;436;Pendant Crs ;H;9;3;8276;
05/08/2023, 13:04:54;0000001;958;Tiara Rght Lft ;K;15;1;2644;
05/08/2023, 13:04:54;0000003;852;Tribute Force Rght Tiara ;F;19;3;5636;
05/08/2023, 13:04:54;0000002;436;Crs Tiara ;D;12;0;3210;
05/08/2023, 13:04:54;0000001;845;Lft Lft Lft ;A;21;1;6918;
05/08/2023, 13:04:54;0000002;436;Pendant Crs Pendant Force ;K;15;0;1202;
05/08/2023, 13:04:54;0000002;987;Lft Force Pendant Rght ;I;21;1;9578;
05/08/2023, 13:04:54;0000003;436;Pendant Tribute ;E;17;2;415;
05/08/2023, 13:04:54;0000002;436;Lft Lft ;B;22;3;3964;
05/08/2023, 13:04:54;0000003;852;Tiara Rght ;A;10;0;4595;
05/08/2023, 13:04:54;0000002;542;Rght Crs ;G;23;2;6102;
05/08/2023, 13:04:54;0000003;658;Force Crs Rght ;D;1;2;4840;
05/08/2023, 13:04:54;0000001;958;Lft Force ;D;19;2;2328;
05/08/2023, 13:04:54;0000003;256;Tiara Lft Pendant ;H;23;3;651;
05/08/2023, 13:04:54;0000002;987;Crs Tribute Rght Lft ;H;23;3;4086;
05/08/2023, 13:04:54;0000001;845;Tiara Rght ;C;10;0;2702;
05/08/2023, 13:04:54;0000003;312;Lft Tribute Force ;J;3;0;6339;
05/08/2023, 13:04:54;0000003;897;Force Crs Force ;K;6;1;2832;
05/08/2023, 13:04:54;0000002;987;Lft Tiara Force Pendant ;C;20;2;4561;
05/08/2023, 13:04:54;0000002;987;Crs Pendant Lft Crs ;D;14;1;7820;
05/08/2023, 13:04:54;0000003;580;Rght Tiara Force ;C;14;1;7906;
05/08/2023, 13:04:54;0000001;658;Tiara Tribute Rght Tribute ;A;18;1;9090;
05/08/2023, 13:04:54;0000002;987;Tiara Rght Crs ;J;5;3;734;
05/08/2023, 13:04:54;0000001;845;Tiara Rght ;F;1;3;5508;
05/08/2023, 13:04:54;0000003;582;Tribute Crs Pendant ;B;18;3;2892;
05/08/2023, 13:04:54;0000001;312;Crs Pendant Force Pendant ;J;19;0;4333;
05/08/2023, 13:04:54;0000001;582;Pendant Rght Rght Rght ;I;22;3;5352;
05/08/2023, 13:04:54;0000001;542;Rght Crs ;F;22;3;7532;
05/08/2023, 13:04:54;0000002;987;Tribute Crs ;G;1;3;9617;
05/08/2023, 13:04:54;0000002;897;Pendant Force ;H;20;3;1109;
05/08/2023, 13:04:54;0000002;658;Rght Force ;C;10;3;5993;
05/08/2023, 13:04:54;0000002;958;Lft Rght Rght ;K;20;3;3910;
05/08/2023, 13:04:54;0000002;987;Tribute Rght Crs ;D;2;3;913;
05/08/2023, 13:04:54;0000002;987;Force Tribute Lft Tiara ;C;10;3;1026;
05/08/2023, 13:04:54;0000002;542;Lft Force Pendant Rght ;F;1;0;3772;
05/08/2023, 13:04:54;0000001;845;Lft Pendant Pendant ;J;10;2;7640;
05/08/2023, 13:04:54;0000003;845;Pendant Tribute ;B;5;2;7832;
05/08/2023, 13:04:54;0000003;958;Crs Pendant Tiara ;I;6;0;213;
05/08/2023, 13:04:54;0000001;987;Tiara Rght ;D;18;0;5469;
05/08/2023, 13:04:54;0000002;312;Pendant Crs Crs Crs ;J;25;1;3357;
05/08/2023, 13:04:54;0000001;897;Tiara Tribute ;D;23;0;9976;
05/08/2023, 13:04:54;0000002;987;Crs Crs Pendant Pendant ;K;11;3;8751;
05/08/2023, 13:04:54;0000001;580;Tiara Rght ;E;19;0;5962;
05/08/2023, 13:04:54;0000003;542;Rght Rght ;I;23;0;7285;
05/08/2023, 13:04:54;0000003;436;Pendant Force ;G;8;3;3808;
05/08/2023, 13:04:54;0000003;312;Tiara Rght Lft ;G;4;1;1020;
05/08/2023, 13:04:54;0000001;658;Force Lft Rght Rght ;H;9;0;938;
05/08/2023, 13:04:54;0000001;852;Lft Force ;A;16;1;5269;
