data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/08/2023, 13:04:54;0000003;436;Tiara Force Crs Tiara ;H;4;2;1336;
05/08/2023, 13:04:54;0000001;542;Lft Pendant ;H;20;3;7023;
05/08/2023, 13:04:54;0000003;958;Tiara Rght Lft ;K;16;0;3151;
05/08/2023, 13:04:54;0000001;542;Force Pendant Tribute Rght ;F;10;0;1171;
05/08/2023, 13:04:54;0000002;436;Rght Tiara Force Tribute ;I;2;1;3458;
05/08/2023, 13:04:54;0000002;897;Force Lft Pendant Lft ;C;23;1;7813;
05/08/2023, 13:04:54;0000002;897;Force Rght Crs Force ;G;13;1;3852;
05/08/2023, 13:04:54;0000002;256;Crs Pendant Tiara ;H;20;2;4793;
05/08/2023, 13:04:54;0000003;312;Crs Force Lft ;A;22;0;5186;
05/08/2023, 13:04:54;0000001;436;Tiara Pendant Tiara Force ;A;24;0;670;
05/08/2023, 13:04:54;0000001;658;Tiara Rght ;A;10;3;6778;
05/08/2023, 13:04:54;0000003;542;Crs Lft Crs ;I;19;0;137;
05/08/2023, 13:04:54;0000002;256;Tiara Crs ;F;3;0;27;
05/08/2023, 13:04:54;0000001;580;Force Tiara Tiara Pendant ;G;20;0;455;
05/08/2023, 13:04:54;0000003;542;Force Pendant Tribute Rght ;E;12;2;6023;
05/08/2023, 13:04:54;0000001;987;Pendant Lft Tiara ;F;17;2;3649;
05/08/2023, 13:04:54;0000001;582;Tribute Crs ;G;6;2;9935;
05/08/2023, 13:04:54;0000002;256;Pendant Force ;D;19;0;3941;
05/08/2023, 13:04:54;0000001;582;Lft Rght Tiara Pendant ;E;11;2;2704;
05/08/2023, 13:04:54;0000001;580;Pendant Rght Tribute ;B;10;3;2065;
05/08/2023, 13:04:54;0000003;512;Lft Pendant ;J;1;2;8059;
05/08/2023, 13:04:54;0000003;542;Crs Tribute ;I;1;1;3572;
05/08/2023, 13:04:54;0000002;436;Pendant Tribute Tiara ;I;1;2;8573;
05/08/2023, 13:04:54;0000001;312;Lft Crs Force Force ;J;14;0;9486;
05/08/2023, 13:04:54;0000002;845;Rght Force Tiara Tiara ;F;21;3;3239;
05/08/2023, 13:04:54;0000003;542;Pendant Tribute Crs Force ;H;10;1;3452;
05/08/2023, 13:04:54;0000002;658;Tribute Rght Tiara ;D;14;0;8644;
05/08/2023, 13:04:54;0000002;845;Lft Crs ;E;4;1;8896;
05/08/2023, 13:04:54;0000001;512;Tiara Lft Pendant ;C;24;2;6117;
05/08/2023, 13:04:54;0000003;845;Lft Tiara Pendant ;F;18;1;7046;
05/08/2023, 13:04:54;0000002;512;Pendant Tiara ;A;12;3;8399;
05/08/2023, 13:04:54;0000003;852;Tribute Lft ;J;17;2;9556;
05/08/2023, 13:04:54;0000001;658;Force Tiara Pendant Tribute ;A;7;0;1958;
05/08/2023, 13:04:54;0000001;256;Crs Crs ;A;2;3;5418;
05/08/2023, 13:04:54;0000001;256;Pendant Force Force ;J;1;3;454;
05/08/2023, 13:04:54;0000001;845;Tiara Crs ;H;7;2;2175;
05/08/2023, 13:04:54;0000001;256;Tiara Rght Crs ;F;7;0;7810;
05/08/2023, 13:04:54;0000003;852;Tiara Pendant Tiara Force ;D;3;1;8953;
05/08/2023, 13:04:54;0000001;312;Force Rght Crs Force ;B;14;3;1057;
05/08/2023, 13:04:54;0000001;512;Tribute Tribute Force ;A;2;1;6653;
05/08/2023, 13:04:54;0000001;542;Crs Tiara Tribute ;F;23;0;9355;
05/08/2023, 13:04:54;0000001;580;Lft Rght Rght ;B;21;2;8377;
05/08/2023, 13:04:54;0000001;580;Tiara Tribute Force ;C;15;1;6200;
05/08/2023, 13:04:54;0000001;312;Force Tiara Pendant Tribute ;J;9;3;7943;
05/08/2023, 13:04:54;0000001;256;Force Crs Force ;B;9;1;5029;
05/08/2023, 13:04:54;0000002;312;Lft Force ;K;13;2;5266;
05/08/2023, 13:04:54;0000002;256;Lft Force Pendant Rght ;C;15;0;1141;
05/08/2023, 13:04:54;0000001;987;Lft Lft ;C;13;1;6183;
05/08/2023, 13:04:54;0000001;512;Crs Pendant Lft Crs ;E;11;0;9250;
05/08/2023, 13:04:54;0000001;987;Crs Crs Pendant Pendant ;K;8;0;6459;
05/08/2023, 13:04:54;0000001;312;Lft Tiara Force Pendant ;H;17;3;8491;
05/08/2023, 13:04:54;0000002;582;Crs Tribute Rght Lft ;F;8;1;8858;
05/08/2023, 13:04:54;0000003;256;Lft Pendant ;H;10;1;7429;
05/08/2023, 13:04:54;0000003;580;Tiara Tribute Force ;D;10;1;2301;
